card_id	german	tatoeba_attribution
x20150	irgendwie	CC-BY 2.0 (France) Attribution: tatoeba.org #1961407 (CK) & #2664402 (Pfirsichbaeumchen)
x20151	aussehen	CC-BY 2.0 (France) Attribution: tatoeba.org #2269483 (Hybrid) & #2271676 (Pfirsichbaeumchen)
x20152	Platz	CC-BY 2.0 (France) Attribution: tatoeba.org #11060131 (sundown) & #11059782 (Pfirsichbaeumchen)
x20153	Telefon	CC-BY 2.0 (France) Attribution: tatoeba.org #3151352 (CK) & #3497406 (Zaghawa)
x20154	Junge	CC-BY 2.0 (France) Attribution: tatoeba.org #293103 (CK) & #757130 (Pfirsichbaeumchen)
x20155	verstecken	CC-BY 2.0 (France) Attribution: tatoeba.org #11848151 (CK) & #12406932 (Waldelfe)
x20156	verletzen	CC-BY 2.0 (France) Attribution: tatoeba.org #2033208 (CK) & #2759107 (raggione)
x20157	dauern	CC-BY 2.0 (France) Attribution: tatoeba.org #2891538 (CK) & #4052378 (Pfirsichbaeumchen)
x20158	Dame	CC-BY 2.0 (France) Attribution: tatoeba.org #383705 (CM) & #1524664 (Pfirsichbaeumchen)
x20159	Dollar	CC-BY 2.0 (France) Attribution: tatoeba.org #294102 (CK) & #363417 (Wolf)
x20160	vorstellen	CC-BY 2.0 (France) Attribution: tatoeba.org #6678520 (CK) & #1523749 (Pfirsichbaeumchen)
x20161	leicht	CC-BY 2.0 (France) Attribution: tatoeba.org #2267463 (_undertoad) & #715878 (kolonjano)
x20162	Ruf	CC-BY 2.0 (France) Attribution: tatoeba.org #303085 (CK) & #343070 (MUIRIEL)
x20163	Million	CC-BY 2.0 (France) Attribution: tatoeba.org #12134271 (CK) & #13374513 (Waldelfe)
x20164	Hölle	CC-BY 2.0 (France) Attribution: tatoeba.org #2195466 (Hybrid) & #2195472 (Tamy)
x20165	Kumpel	CC-BY 2.0 (France) Attribution: tatoeba.org #11011800 (shekitten) & #2164873 (Esperantostern)
x20166	Doktor	CC-BY 2.0 (France) Attribution: tatoeba.org #974169 (CM) & #982094 (Esperantostern)
x20167	fehlen	CC-BY 2.0 (France) Attribution: tatoeba.org #72683 (CK) & #501354 (al_ex_an_der)
x20168	Idiot	CC-BY 2.0 (France) Attribution: tatoeba.org #984523 (CM) & #984522 (al_ex_an_der)
x20169	Feuer	CC-BY 2.0 (France) Attribution: tatoeba.org #3155783 (CK) & #5244012 (Sudajaengi)
x20170	ehren	CC-BY 2.0 (France) Attribution: tatoeba.org #11172786 (CK) & #7879298 (manese)
x20171	Party	CC-BY 2.0 (France) Attribution: tatoeba.org #9248594 (CK) & #12098908 (Naina)
x20172	erschießen	CC-BY 2.0 (France) Attribution: tatoeba.org #1890929 (CK) & #2238209 (freddy1)
x20173	irgendwo	CC-BY 2.0 (France) Attribution: tatoeba.org #2891593 (CK) & #12601066 (Waldelfe)
x20174	schwören	CC-BY 2.0 (France) Attribution: tatoeba.org #15951 (Eldad) & #11870399 (Naina)
x20175	Bein	CC-BY 2.0 (France) Attribution: tatoeba.org #3737992 (CK) & #12389200 (mayabe)
x20176	Anwalt	CC-BY 2.0 (France) Attribution: tatoeba.org #286784 (CK) & #1557216 (nemoli)
x20177	Agent	CC-BY 2.0 (France) Attribution: tatoeba.org #2247919 (CK) & #13221794 (Vortarulo)
x20178	tanzen	CC-BY 2.0 (France) Attribution: tatoeba.org #332338 (vincelens) & #2068472 (Tamy)
x20179	böse	CC-BY 2.0 (France) Attribution: tatoeba.org #1669959 (Spamster) & #1687827 (Pfirsichbaeumchen)
x20180	wovon	CC-BY 2.0 (France) Attribution: tatoeba.org #4017443 (CK) & #4046084 (Pfirsichbaeumchen)
x20181	nochmal	CC-BY 2.0 (France) Attribution: tatoeba.org #31472 (CK) & #540963 (MUIRIEL)
x20182	beeilen	CC-BY 2.0 (France) Attribution: tatoeba.org #2713735 (CK) & #10006077 (wolfgangth)
x20183	Klasse	CC-BY 2.0 (France) Attribution: tatoeba.org #2617269 (Prophete) & #3473207 (Zaghawa)
x20184	hauen	CC-BY 2.0 (France) Attribution: tatoeba.org #668530 (Eldad) & #2657962 (Pfirsichbaeumchen)
x20185	Brief	CC-BY 2.0 (France) Attribution: tatoeba.org #514904 (Gabuliellu) & #2396924 (freddy1)
x20186	überleben	CC-BY 2.0 (France) Attribution: tatoeba.org #11949906 (Fenrir) & #12667460 (Waldelfe)
x20187	General	CC-BY 2.0 (France) Attribution: tatoeba.org #681626 (Source_VOA) & #764998 (al_ex_an_der)
x20188	Boss	CC-BY 2.0 (France) Attribution: tatoeba.org #10367601 (CK) & #12654411 (Waldelfe)
x20189	großartig	CC-BY 2.0 (France) Attribution: tatoeba.org #2954465 (CK) & #5251242 (Pfirsichbaeumchen)
x20190	beschützen	CC-BY 2.0 (France) Attribution: tatoeba.org #1954704 (CK) & #1967502 (Pfirsichbaeumchen)
x20191	Information	CC-BY 2.0 (France) Attribution: tatoeba.org #23041 (CK) & #1701790 (al_ex_an_der)
x20192	Mund	CC-BY 2.0 (France) Attribution: tatoeba.org #9684647 (DJ_Saidez) & #10071443 (wolfgangth)
x20193	erwischen	CC-BY 2.0 (France) Attribution: tatoeba.org #777622 (CM) & #829420 (Esperantostern)
x20194	Zeug	CC-BY 2.0 (France) Attribution: tatoeba.org #4788028 (CK) & #7500308 (Yorwba)
x20195	kennenlernen	CC-BY 2.0 (France) Attribution: tatoeba.org #1912023 (Spamster) & #1918918 (Pfirsichbaeumchen)
x20196	Mörder	CC-BY 2.0 (France) Attribution: tatoeba.org #755155 (sctld) & #1757408 (Vortarulo)
x20197	Geschenk	CC-BY 2.0 (France) Attribution: tatoeba.org #887136 (CK) & #910642 (MUIRIEL)
x20198	verheiraten	CC-BY 2.0 (France) Attribution: tatoeba.org #3360210 (CK) & #3628558 (Zaghawa)
x20199	hinten	CC-BY 2.0 (France) Attribution: tatoeba.org #40463 (CK) & #576309 (cost)
x20200	schnappen	CC-BY 2.0 (France) Attribution: tatoeba.org #419075 (CK) & #1576045 (Zaghawa)
x20201	Soldat	CC-BY 2.0 (France) Attribution: tatoeba.org #2163147 (Source_VOA) & #2205783 (Pfirsichbaeumchen)
x20202	Mord	CC-BY 2.0 (France) Attribution: tatoeba.org #244939 (CK) & #11077543 (merikilpikonna)
x20203	Klappe	CC-BY 2.0 (France) Attribution: tatoeba.org #293248 (CK) & #2265507 (Pfirsichbaeumchen)
x20204	heraus	CC-BY 2.0 (France) Attribution: tatoeba.org #308041 (CK) & #838111 (Espi)
x20205	Seele	CC-BY 2.0 (France) Attribution: tatoeba.org #1624924 (marcelostockle) & #2932546 (Pfirsichbaeumchen)
x20206	Leben	CC-BY 2.0 (France) Attribution: tatoeba.org #5374861 (CK) & #10067640 (wolfgangth)
x20207	bellen	CC-BY 2.0 (France) Attribution: tatoeba.org #8859117 (sundown) & #2107688 (Vortarulo)
x20208	riechen	CC-BY 2.0 (France) Attribution: tatoeba.org #22686 (CK) & #2048807 (Manfredo)
x20209	verlieben	CC-BY 2.0 (France) Attribution: tatoeba.org #305594 (CK) & #8538075 (Yorwba)
x20210	voller	CC-BY 2.0 (France) Attribution: tatoeba.org #44197 (CK) & #360620 (Wolf)
x20211	antun	CC-BY 2.0 (France) Attribution: tatoeba.org #3907478 (CK) & #6624980 (Felixjp)
x20212	Tasche	CC-BY 2.0 (France) Attribution: tatoeba.org #55621 (CK) & #5711387 (Pfirsichbaeumchen)
x20213	Ärger	CC-BY 2.0 (France) Attribution: tatoeba.org #1647844 (Spamster) & #1693233 (Pfirsichbaeumchen)
x20214	zurückkommen	CC-BY 2.0 (France) Attribution: tatoeba.org #1841643 (CK) & #8267496 (driini)
x20215	verfolgen	CC-BY 2.0 (France) Attribution: tatoeba.org #307195 (CM) & #405666 (xtofu80)
x20216	schulden	CC-BY 2.0 (France) Attribution: tatoeba.org #1895697 (CK) & #1907499 (Pfirsichbaeumchen)
x20217	erlauben	CC-BY 2.0 (France) Attribution: tatoeba.org #3731863 (CM) & #6611616 (Felixjp)
x20218	atmen	CC-BY 2.0 (France) Attribution: tatoeba.org #9440102 (CK) & #12864623 (Waldelfe)
x20219	fort	CC-BY 2.0 (France) Attribution: tatoeba.org #24249 (CK) & #785534 (Esperantostern)
x20220	Geist	CC-BY 2.0 (France) Attribution: tatoeba.org #11040564 (CK) & #13460057 (Vortarulo)
x20221	handeln	CC-BY 2.0 (France) Attribution: tatoeba.org #3312224 (CK) & #10017935 (Melang)
x20222	Rum	CC-BY 2.0 (France) Attribution: tatoeba.org #8822995 (CK) & #10061345 (wolfgangth)
x20223	Hochzeit	CC-BY 2.0 (France) Attribution: tatoeba.org #781135 (CM) & #781864 (Chris)
x20224	Bier	CC-BY 2.0 (France) Attribution: tatoeba.org #3151561 (CK) & #10071481 (wolfgangth)
x20225	Anfang	CC-BY 2.0 (France) Attribution: tatoeba.org #1598350 (Spamster) & #1598357 (Pfirsichbaeumchen)
x20226	herkommen	CC-BY 2.0 (France) Attribution: tatoeba.org #3513458 (CK) & #3608884 (Jan_Schreiber)
x20227	enden	CC-BY 2.0 (France) Attribution: tatoeba.org #4012926 (CK) & #5245269 (christian42)
x20228	jagen	CC-BY 2.0 (France) Attribution: tatoeba.org #5851880 (CK) & #6644160 (Felixjp)
x20229	Arm	CC-BY 2.0 (France) Attribution: tatoeba.org #1369200 (sacredceltic) & #2182917 (Pfirsichbaeumchen)
x20230	Partner	CC-BY 2.0 (France) Attribution: tatoeba.org #1891164 (CK) & #1892440 (Tamy)
x20231	herum	CC-BY 2.0 (France) Attribution: tatoeba.org #262377 (CK) & #12629645 (mayabe)
x20232	wozu	CC-BY 2.0 (France) Attribution: tatoeba.org #1956129 (CK) & #1956553 (Pfirsichbaeumchen)
x20233	Schuh	CC-BY 2.0 (France) Attribution: tatoeba.org #1081427 (keira_n) & #1085194 (Esperantostern)
x20234	ermorden	CC-BY 2.0 (France) Attribution: tatoeba.org #307108 (CK) & #351638 (MUIRIEL)
x20235	jedenfalls	CC-BY 2.0 (France) Attribution: tatoeba.org #36982 (CM) & #10086454 (Yorwba)
x20236	rüber	CC-BY 2.0 (France) Attribution: tatoeba.org #5146859 (AlanF_US) & #5609092 (raggione)
