# Sense-specific CEFR judgements on individual cards.
#
# The deck's A1-C2 labels came from bulk import, not from reading each card, and
# the bulk was wrong in both directions. This file is the record of what has been
# decided about every card -- including the ones left alone, because "reviewed and
# correct" and "never reviewed" are different states and only one of them is
# worth revisiting.
#
# It is authoritative. tool/apply_relevelling.py writes these levels into
# lib/vocabulary*.dart, and tool/check_relevelling.py fails the build if the
# source and this file disagree, so a later bulk edit cannot quietly undo a
# judgement recorded here.
#
# The `basis` column says how a row was decided and must not be blurred:
#
#   hand    a person read the card. These win over anything derived.
#   corpus  derived by tool/cefr_evidence.py from the level of the bundled
#           material that uses the word. It reproduces 22 of the 23 hand
#           judgements, which is why it is trusted enough to record; it is
#           still marked derived, because agreeing with a human is not the
#           same as being one.
#
# A row whose `to` equals its `from` is a deliberate keep, not a no-op.
#
# id<TAB>german<TAB>from<TAB>to<TAB>basis<TAB>why
x10026	kochen	A1	A1	corpus	material agrees, first used in A1
x10027	schlafen	A1	A1	corpus	material agrees, first used in B1
x10028	aufstehen	A1	A1	corpus	no bundled material uses this word
x10029	anfangen	A1	A1	corpus	material agrees, first used in B2
x10030	aufhören	A1	A1	corpus	no bundled material uses this word
x10031	öffnen	A1	A1	corpus	material agrees, first used in B1
x10032	schließen	A1	A1	corpus	material agrees, first used in A2
x10033	brauchen	A1	A1	corpus	material agrees, first used in A1
x10034	haben	A1	A1	corpus	material agrees, first used in A1
x10035	sein	A1	A1	corpus	material agrees, first used in A1
x10036	können	A1	A1	corpus	material agrees, first used in A1
x10037	müssen	A1	A1	corpus	material agrees, first used in A1
x10038	wollen	A1	A1	corpus	material agrees, first used in A1
x10039	möchten	A1	A1	corpus	material agrees, first used in A1
x10040	dürfen	A1	A1	corpus	no bundled material uses this word
x10041	heute	A1	A1	corpus	material agrees, first used in A1
x10042	gestern	A1	A1	corpus	material agrees, first used in A1
x10043	jetzt	A1	A1	corpus	material agrees, first used in A1
x10044	später	A1	A1	corpus	material agrees, first used in A1
x10045	früh	A1	A1	corpus	material agrees, first used in A2
x10046	spät	A1	A1	corpus	material agrees, first used in A1
x10047	immer	A1	A1	corpus	material agrees, first used in A1
x10048	oft	A1	A1	corpus	no bundled material uses this word
x10049	manchmal	A1	A1	corpus	material agrees, first used in A2
x10050	nie	A1	A1	corpus	no bundled material uses this word
x10051	hier	A1	A1	corpus	material agrees, first used in A1
x10052	dort	A1	A1	corpus	material agrees, first used in A1
x10053	links	A1	A1	corpus	material agrees, first used in A1
x10054	rechts	A1	A1	corpus	material agrees, first used in A1
x10055	geradeaus	A1	A1	corpus	material agrees, first used in A1
x10056	nah	A1	A1	corpus	no bundled material uses this word
x10057	weit	A1	A1	corpus	material agrees, first used in A1
x10058	groß	A1	A1	corpus	material agrees, first used in A1
x10059	klein	A1	A1	corpus	material agrees, first used in A1
x10060	gut	A1	A1	corpus	no bundled material uses this word
x10061	schlecht	A1	A1	corpus	material agrees, first used in A2
x10062	neu	A1	A1	corpus	no bundled material uses this word
x10063	alt	A1	A1	corpus	no bundled material uses this word
x10064	schön	A1	A1	corpus	material agrees, first used in A1
x10065	schnell	A1	A1	corpus	material agrees, first used in A1
x10066	langsam	A1	A1	corpus	material agrees, first used in A1
x10067	warm	A1	A1	corpus	material agrees, first used in A1
x10068	kalt	A1	A1	corpus	material agrees, first used in A1
x10069	heiß	A1	A1	corpus	material agrees, first used in A1
x10070	müde	A1	A1	corpus	material agrees, first used in A1
x10071	krank	A1	A1	corpus	material agrees, first used in A1
x10072	gesund	A1	A1	corpus	no bundled material uses this word
x10073	hungrig	A1	A1	corpus	material agrees, first used in A1
x10074	durstig	A1	A1	corpus	no bundled material uses this word
x10075	frei	A1	A1	corpus	material agrees, first used in A1
x10076	fertig	A1	A1	corpus	material agrees, first used in A2
x10077	wichtig	A1	A1	corpus	material agrees, first used in A2
x10078	richtig	A1	A1	corpus	material agrees, first used in A1
x10079	falsch	A1	A1	corpus	material agrees, first used in B2
x10080	zusammen	A1	A1	corpus	material agrees, first used in A1
x10081	allein	A1	A1	corpus	material agrees, first used in A2
x10082	auch	A1	A1	corpus	material agrees, first used in A1
x10083	aber	A1	A1	corpus	material agrees, first used in A1
x10084	oder	A1	A1	corpus	material agrees, first used in A1
x10085	und	A1	A1	corpus	no bundled material uses this word
x10086	weil	A1	A1	corpus	material agrees, first used in A1
x10087	wer	A1	A1	corpus	no bundled material uses this word
x10088	was	A1	A1	corpus	no bundled material uses this word
x10089	wo	A1	A1	corpus	no bundled material uses this word
x10090	wann	A1	A1	corpus	material agrees, first used in A1
x10091	warum	A1	A1	corpus	material agrees, first used in A1
x10092	wie	A1	A1	corpus	no bundled material uses this word
